implementation,metric,line_count,workers,worker,iteration,latency_ns
gpioctl_zsh,event-roundtrip,1,1,0,123,18200
gpioctl_zsh,event-delivery,1,1,0,123,6560
gpioctl_zsh,event-roundtrip,1,1,0,124,18160
gpioctl_zsh,event-delivery,1,1,0,124,6480
gpioctl_zsh,event-roundtrip,1,1,0,125,18220
gpioctl_zsh,event-delivery,1,1,0,125,6640
gpioctl_zsh,event-roundtrip,1,1,0,126,18140
gpioctl_zsh,event-delivery,1,1,0,126,6640
gpioctl_zsh,event-roundtrip,1,1,0,127,18380
gpioctl_zsh,event-delivery,1,1,0,127,6380
gpioctl_zsh,event-roundtrip,1,1,0,128,18460
gpioctl_zsh,event-delivery,1,1,0,128,6660
gpioctl_zsh,event-roundtrip,1,1,0,129,18400
gpioctl_zsh,event-delivery,1,1,0,129,6799
gpioctl_zsh,event-roundtrip,1,1,0,130,116600
gpioctl_zsh,event-delivery,1,1,0,130,98240
gpioctl_zsh,event-roundtrip,1,1,0,131,37620
gpioctl_zsh,event-delivery,1,1,0,131,30519
gpioctl_zsh,event-roundtrip,1,1,0,132,19240
gpioctl_zsh,event-delivery,1,1,0,132,7240
gpioctl_zsh,event-roundtrip,1,1,0,133,10980
gpioctl_zsh,event-delivery,1,1,0,133,5380
gpioctl_zsh,event-roundtrip,1,1,0,134,10160
gpioctl_zsh,event-delivery,1,1,0,134,5160
gpioctl_zsh,event-roundtrip,1,1,0,135,9920
gpioctl_zsh,event-delivery,1,1,0,135,5140
gpioctl_zsh,event-roundtrip,1,1,0,136,9780
gpioctl_zsh,event-delivery,1,1,0,136,5020
gpioctl_zsh,event-roundtrip,1,1,0,137,9740
gpioctl_zsh,event-delivery,1,1,0,137,5040
gpioctl_zsh,event-roundtrip,1,1,0,138,9760
gpioctl_zsh,event-delivery,1,1,0,138,5120
gpioctl_zsh,event-roundtrip,1,1,0,139,9720
gpioctl_zsh,event-delivery,1,1,0,139,5040
gpioctl_zsh,event-roundtrip,1,1,0,140,9700
gpioctl_zsh,event-delivery,1,1,0,140,5040
gpioctl_zsh,event-roundtrip,1,1,0,141,9780
gpioctl_zsh,event-delivery,1,1,0,141,5080
gpioctl_zsh,event-roundtrip,1,1,0,142,9680
gpioctl_zsh,event-delivery,1,1,0,142,5040
gpioctl_zsh,event-roundtrip,1,1,0,143,9600
gpioctl_zsh,event-delivery,1,1,0,143,4940
gpioctl_zsh,event-roundtrip,1,1,0,144,9740
gpioctl_zsh,event-delivery,1,1,0,144,5000
gpioctl_zsh,event-roundtrip,1,1,0,145,9480
gpioctl_zsh,event-delivery,1,1,0,145,4960
gpioctl_zsh,event-roundtrip,1,1,0,146,14160
gpioctl_zsh,event-delivery,1,1,0,146,6680
gpioctl_zsh,event-roundtrip,1,1,0,147,10220
gpioctl_zsh,event-delivery,1,1,0,147,5180
gpioctl_zsh,event-roundtrip,1,1,0,148,10060
gpioctl_zsh,event-delivery,1,1,0,148,5100
gpioctl_zsh,event-roundtrip,1,1,0,149,9840
gpioctl_zsh,event-delivery,1,1,0,149,5100
gpioctl_zsh,event-roundtrip,1,1,0,150,9740
gpioctl_zsh,event-delivery,1,1,0,150,5040
gpioctl_zsh,event-roundtrip,1,1,0,151,9460
gpioctl_zsh,event-delivery,1,1,0,151,4900
gpioctl_zsh,event-roundtrip,1,1,0,152,9640
gpioctl_zsh,event-delivery,1,1,0,152,5040
gpioctl_zsh,event-roundtrip,1,1,0,153,9680
gpioctl_zsh,event-delivery,1,1,0,153,4980
gpioctl_zsh,event-roundtrip,1,1,0,154,9580
gpioctl_zsh,event-delivery,1,1,0,154,5000
gpioctl_zsh,event-roundtrip,1,1,0,155,9580
gpioctl_zsh,event-delivery,1,1,0,155,4919
gpioctl_zsh,event-roundtrip,1,1,0,156,9820
gpioctl_zsh,event-delivery,1,1,0,156,5260
gpioctl_zsh,event-roundtrip,1,1,0,157,9560
gpioctl_zsh,event-delivery,1,1,0,157,5000
gpioctl_zsh,event-roundtrip,1,1,0,158,9560
gpioctl_zsh,event-delivery,1,1,0,158,5020
gpioctl_zsh,event-roundtrip,1,1,0,159,9500
gpioctl_zsh,event-delivery,1,1,0,159,4920
gpioctl_zsh,event-roundtrip,1,1,0,160,9540
gpioctl_zsh,event-delivery,1,1,0,160,4980
gpioctl_zsh,event-roundtrip,1,1,0,161,9520
gpioctl_zsh,event-delivery,1,1,0,161,4980
gpioctl_zsh,event-roundtrip,1,1,0,162,9620
gpioctl_zsh,event-delivery,1,1,0,162,5040
gpioctl_zsh,event-roundtrip,1,1,0,163,9400
gpioctl_zsh,event-delivery,1,1,0,163,4860
gpioctl_zsh,event-roundtrip,1,1,0,164,9540
